FeedbackID,Date,ServiceType,ServiceProvider,CustomerName,CustomerContact,FeedbackText,Rating
7425,2023-06-27,Pay TV,Airtel,Jennifer Rice,23470710669150,Suffer television three put black three.,2
3080,2022-03-17,Telecom,Etisalat,Felicia Hampton,23470772751747,Team alone owner mean brother behind speak herself.,1
8622,2023-03-10,Telecom,Airtel,Emily Collier,23470361725127,East democratic spend debate style.,1
313,2021-12-05,Pay TV,Etisalat,Morgan Peters,23470756219543,Line less major anyone will lot.,3
1847,2023-05-14,Pay TV,Glo,Kerry Phillips,23481158005316,World she Republican onto after.,2
1380,2023-01-29,Telecom,Airtel,Erik Bowen,23480627204408,Easy should concern.,2
873,2021-10-11,Pay TV,MTN,Edward Smith,234809329897,Wish role should middle.,1
2206,2023-02-28,Telecom,Airtel,Sherry Snyder,23490560454762,Strong benefit her history.,4
1271,2022-08-25,Pay TV,Airtel,Rachel Bird,23481140842275,Man expect dream knowledge arm.,4
9530,2023-05-09,Pay TV,MTN,Jonathan Frank,23480333604974,Range soldier manager American appear girl term.,4
4215,2023-04-28,Pay TV,Etisalat,Ronald Flores,23481144036052,Activity left rock cell inside next our.,4
8111,2022-11-23,Pay TV,MTN,Jessica Jimenez,23480877868715,And feel suffer country whom.,2
5504,2023-04-26,Telecom,Etisalat,Madeline Jones,23490176561616,Church end take strategy remain guess.,3
4665,2022-03-15,Telecom,Glo,Mark Morris,23470992394071,Edge thus detail.,3
4146,2022-02-02,Telecom,Etisalat,William Kramer,23480897363310,Know outside nice one.,4
6303,2021-11-25,Telecom,MTN,Joshua Pierce,23490749797999,Trade vote pull thing toward reduce question.,5
9490,2021-09-29,Telecom,Airtel,Joel Rodriguez,23470676109778,One forget month admit indicate onto recent protect.,5
7332,2023-01-19,Telecom,Airtel,Hector Wheeler,23470810017198,Type write section information.,4
1505,2022-06-09,Pay TV,Etisalat,Eric Oneill,2347056787655,History actually foot walk.,2
4067,2022-05-31,Pay TV,Airtel,Kathleen Elliott,23470324235758,Relate my theory bank.,3
3589,2023-02-10,Pay TV,Glo,Kiara Foster,23470676883900,Into whatever hundred.,4
9517,2022-05-17,Telecom,Airtel,Beth Calderon,23480383745762,Meet piece special move history amount.,4
6138,2023-04-24,Telecom,MTN,Hannah Evans,23481429584316,Successful natural pick light analysis.,2
2670,2022-07-11,Pay TV,Glo,Jessica Roy,23481948934871,Clear brother glass force.,3
8318,2022-05-18,Telecom,MTN,Mitchell Werner,23490972572148,Administration make animal sell provide service.,3
5094,2021-11-11,Telecom,MTN,Mrs. Jennifer Fischer,23480175366105,For baby become trip but know American.,1
1206,2022-11-18,Telecom,Airtel,Frank Johnson,23470184796834,Safe citizen seat now while eat different.,5
2853,2021-11-21,Pay TV,MTN,Linda Mckee,23481857304551,Bad market meet him song.,3
9112,2023-02-09,Telecom,Glo,Steven Marshall PhD,23481948281804,School such much cell case small world shake.,4
4182,2023-08-23,Telecom,Airtel,Michael Lewis,23481240953984,Instead challenge arm those at ball change.,5
8768,2021-10-01,Pay TV,Glo,Derek Wood,23470613466058,Understand environmental soldier in.,5
2304,2022-01-27,Telecom,Glo,Eric Zuniga,23481588985042,Evidence garden community relationship summer hand smile.,1
2790,2022-05-13,Telecom,Glo,Michael Hood,23481778619632,The modern city.,5
8872,2021-10-01,Pay TV,Glo,Monique Little,23470983349255,Glass popular along me fast meeting.,1
6079,2022-06-01,Telecom,MTN,Katherine Richardson,23480120388483,Society crime director yeah sport.,2
7991,2021-10-18,Telecom,Glo,Donald Mitchell,23490741555900,Finish raise play account director.,3
1214,2022-06-20,Pay TV,MTN,Claire Vaughn,23481410408711,Ago history message pull.,3
6370,2022-06-09,Pay TV,MTN,Anthony Brown,23480926896591,Pretty me suffer business there.,4
8341,2022-01-03,Pay TV,MTN,Brian Baker,23470974035280,Onto success start everybody.,4
7023,2021-11-23,Pay TV,Glo,Mrs. Angela Smith,23490431325444,Whatever among everything cut add middle water.,1
438,2022-05-27,Pay TV,Etisalat,James Young,23490881988623,Pattern management own history stuff certain will cut.,3
1784,2022-06-26,Pay TV,Etisalat,Brian Christensen,23490279792962,Performance buy behavior data enjoy at yourself.,2
7183,2021-12-01,Telecom,MTN,Michelle Mcbride,23470355170290,Reason both there nation why Republican.,3
7042,2022-05-20,Telecom,Airtel,Samantha Gomez,23481458968117,History lot system before.,2
9384,2023-02-02,Pay TV,Etisalat,Matthew Garcia,23480387170046,Official hard dream result ready.,4
7080,2022-01-18,Telecom,MTN,Shelley Chan,23481850457703,Use word serious represent get.,3
9349,2023-04-07,Pay TV,Etisalat,Eric Jackson,23490702330178,Worker art feeling drive response.,3
8887,2023-06-17,Pay TV,Etisalat,William Suarez,23470420083233,Seven medical when require.,4
7370,2021-11-19,Telecom,Etisalat,Suzanne Brooks,2347022042688,Leader front let situation smile build but.,1
1621,2023-04-22,Telecom,Glo,Victoria Marsh,23481386847905,Manager rock successful half.,4
9080,2023-01-07,Pay TV,MTN,Sean Stevens,23481949407358,Each base education tough activity listen.,1
9753,2022-08-12,Pay TV,Airtel,Mariah Sullivan,23490371132516,Change everyone they situation big a whatever amount.,2
1145,2022-06-26,Pay TV,Glo,Kimberly Williams,23480978308148,Century when station animal tree.,1
8411,2022-03-02,Pay TV,Airtel,Leslie Thomas,23470709390389,President western usually bad exactly.,4
9235,2023-02-14,Pay TV,Etisalat,Christopher Williams,23470611451881,Top economy sort.,5
8690,2023-06-23,Telecom,MTN,Paul Hooper,23470376218752,Pay according simple feel.,2
4245,2022-10-19,Pay TV,Airtel,Chase Smith,23490250844713,Choice those Mrs simple outside rock.,2
2846,2023-06-25,Pay TV,MTN,Mary Perry,23470371988023,Worker idea oil walk.,2
6726,2021-10-14,Pay TV,MTN,Brandon Garcia,23480288471235,Product car vote pretty.,2
7726,2023-03-25,Pay TV,Etisalat,Mrs. Jennifer Garcia,23490847414979,Read meet morning make many himself professor.,2
9761,2023-02-10,Telecom,Etisalat,Wanda Garcia,23470875831196,Rather industry sense despite.,1
7250,2022-09-21,Pay TV,Glo,Matthew Woods,23490168674976,Husband total seek conference million feel.,4
2594,2021-12-01,Pay TV,MTN,Kelly Allen,23490480683166,Perhaps bed bill hotel life.,2
8196,2022-02-21,Telecom,MTN,Dennis Smith,2348186350754,Important those majority school enter break.,4
8239,2022-06-12,Telecom,Airtel,Julie Perez,23470367406691,Fish despite late cultural mission pattern risk.,4
9230,2021-12-09,Pay TV,MTN,Amy Brown,23481989397121,Method first kitchen measure.,3
876,2022-06-03,Telecom,MTN,Dr. Michael Hernandez,23481143903378,Statement medical rest.,5
3837,2021-11-29,Pay TV,Etisalat,Dillon Anderson,23470698473530,And note each federal.,5
4160,2022-02-28,Telecom,MTN,David Wagner,23490169755210,Lawyer she dark course offer.,2
2139,2022-10-27,Pay TV,Etisalat,James Patrick,23481872610347,Culture exactly development usually care.,5
6240,2021-09-29,Pay TV,Glo,Mary Hayes,23490670753234,Establish democratic conference particular she choose.,1
3111,2023-03-16,Telecom,Airtel,Angela Fox,2348163445070,Answer political simply school.,5
9784,2022-01-06,Pay TV,Airtel,Mary Hurley,23481490797030,Movement out for.,5
3287,2023-07-23,Telecom,Airtel,Alexandra Anderson,23470844040097,Season join church fine start risk.,5
7819,2022-09-08,Pay TV,Glo,Javier Chapman,23481871646245,Factor hand reason as travel.,4
6660,2022-12-07,Telecom,Etisalat,Drew Clark,23490978610144,Book think image just.,2
1715,2023-06-30,Pay TV,Airtel,Adrian Petty,2349078745000,Compare force eye require.,4
2349,2023-01-03,Pay TV,Etisalat,Carl Crawford,23470936284667,Partner what who.,1
8256,2022-03-29,Pay TV,Glo,Edward Ramos MD,23470895889271,Alone number good class.,1
278,2023-07-12,Pay TV,MTN,Christopher Sanchez,23481305844352,Foot government employee country of explain.,1
6826,2022-09-22,Pay TV,Airtel,Terry Baker,23470146099226,Into leg everyone material.,3
6578,2022-05-02,Telecom,Etisalat,Emily Brewer,23490588576999,Result you place general anyone.,2
553,2022-05-10,Telecom,MTN,Jonathan Powell,23480716953370,Law current available alone end.,5
9473,2023-06-16,Telecom,Glo,Lori Roman,23490670992487,Four peace person carry heavy campaign.,2
376,2022-02-18,Telecom,MTN,Lisa Cline,23480200138933,Yeah area financial risk vote.,3
9430,2022-01-17,Telecom,MTN,Kathleen Nelson,23481609727121,Western return air I available.,5
3129,2022-10-14,Pay TV,Glo,Amanda Jackson,23470422850796,Cause enough billion word.,3
4692,2022-02-23,Pay TV,MTN,Wendy Watson,23480619663965,Phone off bar me.,2
6191,2022-06-07,Telecom,Etisalat,Kelly Foster,23470237736584,Dog fly school long later.,5
7588,2023-05-12,Telecom,MTN,Jason Ross,23490274290073,Create interesting special product into.,2
7290,2021-11-03,Pay TV,Airtel,Jesse Carlson,23480382099163,Forward win central myself stop voice force.,2
6234,2023-01-05,Telecom,MTN,Kayla Baker,23470163987091,This lot blood specific spring institution nice.,2
3585,2022-05-03,Pay TV,Glo,Mary Higgins,23480894021417,Knowledge perhaps actually line should girl only.,2
5013,2022-12-21,Pay TV,Airtel,Travis Sullivan,23470301896975,Nice citizen stage west.,3
1564,2023-06-06,Telecom,Airtel,Shannon Johnson,23480800593458,Easy now indicate garden positive even worry.,4
4299,2021-10-10,Telecom,Airtel,Greg Ellison,23490974133531,Hope find wrong four machine wind across.,4
3733,2023-01-09,Telecom,Etisalat,Bradley Martin,23480836037764,Once happy loss.,5
4905,2022-10-05,Pay TV,MTN,Angela Robinson,23481703211,Boy tree suffer country area stock.,2
7208,2023-06-05,Pay TV,MTN,Christine Chan,23470357326822,Message provide various push.,5
3019,2023-07-02,Telecom,MTN,Melissa Simmons,23481561867078,Listen design interview report help certain water serve.,3
9886,2022-12-31,Telecom,MTN,Tina Perez,23470813847956,Us despite in require hair occur partner.,2
537,2023-07-11,Pay TV,Airtel,Jordan Franklin,23480144707368,Evidence give individual statement.,1
2004,2022-09-14,Telecom,MTN,Michael Gonzalez,23480776735401,Policy modern agreement become upon.,5
2238,2022-08-10,Pay TV,Glo,Jennifer Clarke,23480507244104,Customer list picture total analysis middle.,3
5235,2022-03-06,Telecom,MTN,Lisa Reyes,23470105364656,Clear here blood yard.,1
4520,2021-11-16,Telecom,Etisalat,Chris Cantu,23470683851275,Institution pass behavior but environment finish.,1
4269,2022-07-10,Telecom,Airtel,William Walker,23480945645911,Create on join seek letter ask point minute.,4
7316,2021-11-14,Telecom,Glo,Stephanie Robinson,2349024933519,Ago yes common bed while how box.,2
7835,2023-04-08,Pay TV,Glo,Michael Freeman,23470799628071,Name me idea owner.,3
4324,2023-08-30,Pay TV,Glo,Jodi Brooks,23480431496886,Clear stuff share book.,2
3843,2022-03-14,Pay TV,Etisalat,Tiffany Wilkerson,23481370554716,Far recently yard because song arrive free.,5
8809,2021-11-04,Telecom,MTN,James Hughes,23470802976603,Company teach form cut.,1
2609,2023-07-10,Pay TV,Glo,Kimberly Smith,2348122466524,Nor thousand own must.,5
2044,2022-12-18,Telecom,Etisalat,William Lambert,23470155685292,Rate admit dinner draw suffer boy.,3
7142,2022-02-16,Pay TV,Glo,Jacob Luna,23470851729057,Law cover beyond amount decade.,2
3511,2022-10-06,Pay TV,Etisalat,Bethany Weaver,23480360273908,Technology perhaps religious cover reflect meet.,5
2619,2022-12-01,Telecom,Glo,Anita Travis,23481852744310,Discover might identify remember cultural human enter.,1
8745,2022-07-09,Telecom,Airtel,Wesley Henson,23470171819100,Describe reflect region reality something TV.,3
6620,2023-03-18,Pay TV,Glo,Philip Saunders,23490821330441,Throw act say type nature listen show sell.,5
9498,2023-07-03,Pay TV,Airtel,Michael Garcia,2348070800651,Section social who traditional individual performance very.,3
7775,2022-03-20,Pay TV,Airtel,Travis Fisher,23481665177807,Least ball couple benefit job as statement.,3
2864,2023-06-14,Telecom,Glo,Ruben Hill,23490311879106,Wish successful house degree exactly.,5
1388,2022-07-16,Pay TV,Glo,Linda Lee,23490831175905,They ago skin even maintain involve.,4
836,2021-10-14,Telecom,Etisalat,Jason Stevenson,23470602201717,Bad night computer door high.,2
5871,2023-03-04,Pay TV,Airtel,Andrew Chavez,23481838648061,Analysis run seven.,4
4904,2022-01-03,Pay TV,MTN,Sarah Pollard,23470892045184,Vote fight American law.,4
7227,2022-01-08,Pay TV,Glo,Cynthia Long,23490226590056,Establish skin four easy.,2
5576,2022-03-15,Pay TV,Glo,Kelly Sparks,23481901590630,Edge cold strong.,3
8968,2023-06-10,Pay TV,MTN,Jennifer Weber,23490757458488,Room company protect interview mother around draw.,5
6107,2022-02-17,Pay TV,Airtel,Melissa Jordan,2349060321169,Against back answer stuff then can.,1
7017,2022-06-17,Telecom,Glo,Alexandria Nunez,23481232008808,You pull watch author indicate history.,3
7353,2023-04-18,Pay TV,Glo,Kyle Williams,23481228122750,Action election back later market.,4
4532,2023-08-21,Pay TV,Glo,Chris Gonzales,23480602499821,Way matter nearly need strategy product.,4
1619,2023-03-16,Pay TV,Etisalat,Luis Morris,23490607989212,Structure themselves pretty word thing.,1
3749,2021-10-23,Telecom,Etisalat,Joan Anderson,2349071435217,Require cost parent number window.,5
2366,2023-03-10,Pay TV,Etisalat,Jason Roach,23470738228875,Customer forward hundred gas better.,5
7546,2022-11-24,Telecom,Airtel,Deborah Meyer,23480689150970,Toward here out present market specific.,4
1892,2021-11-14,Telecom,Etisalat,Alexander Hernandez,23480668750096,Son necessary public century chair trip later.,2
8205,2022-05-28,Telecom,Glo,Jennifer Stone,2348067828756,None federal the knowledge five.,4
5284,2021-10-17,Pay TV,Glo,Alex Clark,23481274438438,Us technology raise.,3
2848,2022-01-31,Pay TV,MTN,Cynthia Nguyen,23481815700085,Market though color article.,1
8200,2023-06-01,Telecom,Etisalat,Kimberly Poole,23480244881838,Environmental particularly station single production west.,1
4623,2023-05-09,Telecom,Glo,Brooke Poole,2347047721318,Choose move guy laugh.,5
4565,2021-12-03,Pay TV,MTN,Shannon Brown,23490169026659,Expert send smile ahead someone book.,4
9005,2022-01-08,Pay TV,Airtel,Scott Thomas,23490503754323,Big surface teach lead.,5
2424,2022-10-11,Pay TV,MTN,Ryan Johnson,23470601011647,Research art different in brother save.,5
2196,2022-09-27,Telecom,MTN,Lisa Hall,23480323537563,Reduce glass natural student listen.,3
7850,2023-04-11,Telecom,Airtel,Jesse Sanchez,2349042875830,Dinner apply direction resource avoid quite.,5
2977,2022-11-03,Pay TV,Etisalat,Rebekah Miles,23470500756696,Her job care never reflect around door.,5
8631,2022-07-27,Telecom,Etisalat,Catherine Hart,23480281368197,Necessary drug meet help.,4
4898,2023-04-23,Pay TV,Glo,Jennifer Bates,23470244377380,Poor want special price window our.,5
8172,2022-06-02,Telecom,MTN,Nicole Johnson,2347047883390,Very feel specific everyone Mr without happy discuss.,5
9662,2021-10-22,Telecom,Etisalat,Elijah Gutierrez,23481884658490,Within book although example strategy.,3
173,2023-04-14,Telecom,Airtel,Michael Hodges,23481700230957,Put population skill born.,2
3359,2022-10-23,Pay TV,Glo,David Erickson,23490270880786,Participant job door range happen defense.,3
2911,2023-07-24,Pay TV,MTN,Krystal Frazier,23481201604708,Only prevent hotel.,3
5145,2023-04-21,Pay TV,MTN,Melissa Santos,23481893378933,Network particular set mind pressure.,1
5997,2022-07-31,Telecom,Airtel,Gina Fuentes,23481200109224,Two different knowledge alone.,3
5017,2022-04-09,Pay TV,Glo,Danny Reed,23470916846214,Could federal thing music four.,1
2465,2022-09-11,Pay TV,Airtel,Marie Shepherd,23490273663715,Apply late focus hour form.,2
9986,2022-08-27,Pay TV,MTN,Cody Fischer,23480376598632,Indicate stay great.,5
8527,2023-01-14,Telecom,MTN,Rebekah Williams,23490453781383,Know south region.,5
9546,2023-06-30,Pay TV,Airtel,Benjamin Pittman,2347019919498,Owner per toward win best happen floor.,4
2635,2022-06-23,Telecom,Glo,Olivia Patton,23490754756148,System minute test.,2
4346,2021-11-23,Telecom,Etisalat,Jamie Jones,23480757098059,Tell put very dinner hour understand.,2
2405,2023-01-24,Pay TV,Glo,George King,23470184597985,Born enjoy exist.,3
9538,2022-10-17,Telecom,Etisalat,Kristen Ramirez,23470183024327,Sign easy any poor measure religious strategy.,2
2782,2022-08-06,Telecom,Glo,Gary Smith,2348038587156,Poor what perform also treat so compare reason.,4
7859,2022-03-25,Pay TV,Airtel,Makayla Herrera,23480271100745,Political big really long leg know still ok.,1
9686,2021-11-27,Pay TV,Airtel,Carrie Thompson,23481123498703,Team item up process base be economic.,3
5064,2022-10-25,Telecom,Glo,Tammy Burton,23470957603675,Order on ask prevent newspaper item financial charge.,2
2034,2023-05-08,Pay TV,MTN,Sara Williamson,23490667100036,Fill class watch later let.,1
8249,2023-01-10,Pay TV,MTN,Jacqueline Beard,23480626334477,Court budget sort choice night.,1
3431,2022-06-24,Telecom,Glo,Henry Ferguson,23481713838283,Popular population growth type skill.,1
2010,2022-06-08,Pay TV,Airtel,Christopher Simmons,23470116970886,Election stock big speak their between current child.,1
786,2022-12-28,Telecom,MTN,Annette Stevens,23480430997073,From attack reflect mother wife.,3
8095,2022-12-07,Pay TV,Glo,Joseph Maxwell,23480573109081,Turn three draw can financial ball force give.,3
570,2023-07-14,Pay TV,Glo,John Harrington,23490227053116,Industry quickly dark phone believe.,5
6830,2022-02-21,Pay TV,MTN,Julia Green,23490857572380,Various agreement career movement work.,5
3958,2021-10-22,Pay TV,Airtel,Michael Nguyen,23470774828484,Who cold effort relationship.,4
8153,2021-11-26,Pay TV,Airtel,Sara Gross,23470553457150,Machine nearly fast do audience.,2
2153,2022-08-07,Telecom,Glo,Phillip Davis,23490344657888,Life sense will.,4
2610,2023-03-05,Pay TV,Airtel,Mrs. Dawn Proctor,23490555448262,Difficult standard nation wear.,1
9804,2022-11-28,Telecom,MTN,Joanna Montgomery,23480979802199,Main true especially top dinner growth audience.,1
2525,2023-03-25,Telecom,MTN,Brandon Johnson,23470113451458,Send clear toward science speak view list.,4
6290,2022-09-02,Telecom,Airtel,Nancy Lowe,23481236672719,Subject least hard safe create stuff southern measure.,4
8574,2023-05-01,Pay TV,Airtel,Alexandra Wright,23481878172195,Wall personal serious program.,5
9939,2023-07-31,Pay TV,Glo,Edwin Smith,23480105132175,Worry billion blue data beautiful item.,1
8952,2022-01-19,Telecom,Glo,Heidi Cox,23481893808365,Others indeed foreign own reality area reality.,3
2721,2023-02-26,Telecom,Etisalat,Matthew Williamson,23470897112749,Through president population two present.,4
9445,2022-08-05,Pay TV,Glo,Mary Cook,23470258041029,Particular help trip sort.,4
2557,2022-01-18,Pay TV,Glo,Sheila Smith,23490423017165,Woman run stage window.,2
6547,2023-02-03,Pay TV,Glo,Michael Rodriguez,23470735836830,Military despite put value record prepare.,4
1759,2023-05-14,Pay TV,Glo,Jamie Wong,23470626509360,Number class brother wind.,4
6354,2022-12-13,Pay TV,Airtel,Julia Gomez,23470366364490,How deal I hand.,3
9644,2022-09-05,Pay TV,Airtel,Bradley Bailey,23490549423164,Never fine better because may management.,2
6515,2022-01-02,Telecom,Glo,Amanda Young,23480556619554,Marriage at very behavior he.,4
4703,2023-06-29,Telecom,Airtel,Jennifer Melton,23481720802058,Smile view life degree risk happen religious business.,3
7530,2023-03-04,Pay TV,Airtel,Sarah Gray,23470215894002,Type over behind population happen world water.,3
9211,2023-01-08,Telecom,Glo,Tammy Nelson,23490651690215,Coach training class available current per turn.,5
9800,2023-03-15,Telecom,Glo,David Burns,23490430138483,Everything interest side rise.,3
6521,2023-07-06,Pay TV,Airtel,Brittany Williams,23480836319377,Phone sell professor direction picture best line.,1
6254,2023-08-18,Pay TV,MTN,Brian Garrett,23481573091147,Receive value someone friend.,5
2754,2022-08-13,Telecom,Etisalat,Ronald Vance MD,23490747137773,Possible physical scene should close.,2
6,2023-02-15,Telecom,Airtel,Derek Martinez,23480318759856,Affect building investment maintain recent.,5
4341,2023-03-15,Pay TV,Airtel,Steven Haley,23490452414652,Interesting affect enjoy place.,2
2494,2022-07-08,Pay TV,Etisalat,Michelle Morgan,23480521525316,At major audience baby bill reach.,5
6465,2022-07-04,Pay TV,Airtel,Cindy Taylor,23480910194489,Near few leader analysis event manager see.,2
4200,2023-08-24,Telecom,Glo,Ryan Gilmore,2349068589574,Once recent thousand pressure support west service.,5
1327,2023-01-11,Telecom,MTN,Cathy Farmer,23490936331974,Notice true option year much.,3
790,2021-10-27,Telecom,Etisalat,Jessica Browning,23470968539542,Herself environment stock build difference.,5
7276,2022-10-31,Telecom,Etisalat,Jay Webb,23490745174596,Song long imagine behind great.,2
6656,2022-08-10,Pay TV,Glo,Jeffrey Meyers,23470993834842,Century office provide a.,3
3591,2022-12-11,Telecom,Airtel,Benjamin Kim,23481539811620,Western arm until gun.,2
820,2022-05-19,Telecom,MTN,Roy Figueroa,23470735092238,Cultural move exist option response billion.,3
7761,2023-08-17,Telecom,Glo,Cassie Lester,23480527866216,Nothing maybe east war leader theory analysis.,2
1414,2022-10-10,Pay TV,Glo,Nicholas Romero,23480391303907,Smile become ball whole rest environment force.,5
8855,2023-04-13,Pay TV,Airtel,Michael Miller,23470498452451,Keep door scientist decide program several prove country.,5
8478,2021-11-09,Pay TV,Etisalat,Melinda Chavez,23470919978918,Form two civil music have range.,4
4331,2023-04-05,Pay TV,MTN,Patrick Wolfe,2348167039819,Citizen child near.,5
8722,2023-05-23,Telecom,Etisalat,Monique Dyer,23481572657020,Relationship good position keep same billion.,5
3693,2022-03-28,Telecom,Glo,Lisa Miller,23480751997402,Game force wind nation my lay positive.,2
4966,2022-04-21,Pay TV,MTN,Aimee Tyler,23470926617126,Five table follow fast life town left statement.,4
2429,2023-04-19,Pay TV,MTN,David Cummings,23480834124102,Effect as value not hit Mrs.,5
235,2022-04-27,Pay TV,Airtel,Elizabeth Boyd,23481350682151,Put road I least especially professional.,5
7523,2021-10-12,Telecom,MTN,Joanna Curry,23490736270286,Who threat thought set new approach.,1
4824,2022-10-02,Telecom,Airtel,Dwayne Mason,2347013671378,Church discussion blue to only spring event.,1
6322,2023-04-26,Telecom,Airtel,Ryan Coleman,23490633846683,Human involve door boy practice structure day.,3
1528,2023-05-08,Pay TV,Etisalat,Christopher Griffin,23490709410331,Something food society sound main stock boy gun.,1
569,2023-04-23,Telecom,Etisalat,Shelia Herring,23480832301775,Sort apply would call college us close.,3
8208,2022-07-30,Pay TV,Glo,Stephanie Thomas,23470339485410,Trip down group hard treat everything value.,2
784,2022-10-12,Telecom,Etisalat,Joy Nielsen,23481296639601,Against protect floor.,5
2817,2022-02-07,Telecom,Glo,Lydia Moss,23481719094290,Which production as end almost bad.,1
8155,2022-05-13,Pay TV,Etisalat,Deborah Palmer,23490152711007,Under already international color player.,3
6329,2022-08-16,Telecom,Etisalat,Gina Miller,2348182323038,Lay hard similar mind road.,2
4937,2023-07-29,Telecom,Airtel,Sarah Porter,23480502836404,Ten behind suddenly set specific wear.,4
205,2022-05-28,Telecom,MTN,Sarah Miller,23470456071301,Wide information rest power say across within.,2
3109,2022-12-04,Pay TV,MTN,Jennifer Hall,2348191643933,To onto yard company.,1
4088,2022-11-11,Telecom,Airtel,Scott Shea,23480151487741,Away writer politics lot rest democratic affect.,3
4154,2022-10-31,Pay TV,Etisalat,Alicia Cook,23490601220164,Hot work we with garden moment.,5
5434,2023-05-16,Pay TV,Airtel,Joshua Cummings,23481279515608,Idea town face impact low address.,2
8314,2022-06-12,Pay TV,MTN,Dr. Robert Perez,2348064716557,Market reflect policy issue get process real.,5
460,2023-08-01,Telecom,Glo,Amy Cruz,2348152173345,Current professor able me woman buy huge.,1
8317,2023-08-19,Pay TV,Glo,Kimberly Pierce,23470633479859,Wear issue goal likely.,3
750,2023-09-05,Telecom,Etisalat,Steve Fields,234812268341,Company door but floor usually trade.,3
6291,2022-05-07,Pay TV,Glo,Joshua Ross,23470295943007,Institution recently be minute mention.,2
2829,2022-04-11,Pay TV,Glo,Clifford Lane,23470215796161,Dark opportunity school truth what soon.,1
3440,2023-07-23,Pay TV,Airtel,Mary Sanchez,23470531480638,Seek watch food rate music clearly.,5
3807,2023-04-22,Telecom,Glo,Leah Harris,23490631117433,Measure wear recognize which politics talk charge next.,3
1281,2023-01-17,Telecom,Airtel,Keith Santiago,23490491753144,Worry model wear.,4
5004,2023-06-26,Telecom,Etisalat,Dr. Deborah Harrison,23480993438587,Skill someone charge information peace.,2
6068,2023-09-12,Telecom,Airtel,Alexandra Lane MD,23480337360160,Hospital cover start central.,4
2265,2023-07-05,Telecom,Airtel,Jenna Mcneil,23490390418326,Environment oil citizen worry listen attention war.,2
9684,2022-12-25,Pay TV,MTN,Jennifer Webb,23480299767553,Anything church fund necessary remain.,4
3240,2022-06-21,Pay TV,Glo,Brian Brown,23490338063966,Raise democratic building.,3
5843,2023-04-10,Telecom,MTN,Alicia Middleton,23470412422739,Main someone then quality education.,5
5510,2022-04-24,Telecom,Glo,Melissa Greene,23481760128247,Fish run each ever physical bit hit night.,3
8163,2022-04-30,Telecom,MTN,Cindy Galloway,23481434742618,After herself value level.,3
8,2022-06-14,Pay TV,Airtel,Keith Dixon,23480213232751,Consider necessary leg set.,1
