ComplaintID,Date,ServiceType,ServiceProvider,CustomerName,CustomerContact,Description,ResolutionStatus
9680,2022-06-01,Telecom,Etisalat,Amy Roberts,23470520517824,Lot resource full tonight player.,Resolved
9027,2022-08-21,Pay TV,Glo,Jason Vaughn,23481873232551,Dog who argue always generation newspaper.,Open
3927,2022-10-14,Pay TV,MTN,Christina Hayden,23480910810656,Probably pick draw thing.,In Progress
1332,2022-07-02,Pay TV,Glo,Matthew Barker,23470522407308,Test recent west peace.,Resolved
8021,2022-12-11,Telecom,MTN,Laura Vargas,23481867166150,Member trouble huge maybe attention boy whom nothing.,In Progress
2416,2021-11-07,Telecom,MTN,Kirk Carpenter,23490609954488,Bit measure theory boy drive.,Open
6100,2023-08-06,Telecom,Glo,Curtis Miles,23490131241671,Happen could amount.,In Progress
6249,2023-06-02,Pay TV,Glo,Alicia Oliver,23481299875625,Serious bar perhaps.,Open
3108,2022-10-26,Pay TV,MTN,Joel Ellis,23470275562897,Agency walk environmental audience development between.,In Progress
6877,2023-04-24,Telecom,Etisalat,Joseph Davis,2348064254554,Why yet key cost offer.,In Progress
5385,2023-06-09,Telecom,Glo,Jenna Smith,23480610072316,Necessary arm fund part.,In Progress
4677,2022-01-26,Pay TV,Etisalat,William Coffey,23490458311426,Increase across history.,Open
1706,2021-12-16,Pay TV,Etisalat,Steven Nicholson,23480448028724,Consider gun watch quite easy summer show.,In Progress
1771,2022-03-13,Pay TV,MTN,Tanya Avila DDS,2349033501332,Under strong style spring store land local.,Open
7866,2022-06-24,Telecom,Glo,Jonathan Kaufman,23490703508488,Local light owner during about military.,Open
9996,2021-11-26,Pay TV,Airtel,Jason Wallace,23490375975527,Better accept expect job opportunity rise.,In Progress
3291,2022-02-16,Telecom,Etisalat,Beth Welch,23481710938097,Oil production want indeed sister company job than.,Resolved
466,2023-03-15,Telecom,Glo,Johnny Flores IV,23490421772496,Sort speak no class former.,Open
3396,2022-11-13,Pay TV,Glo,John Wise,23470530811248,Positive sure value author recognize their.,In Progress
9905,2022-01-10,Telecom,Airtel,Aaron Ball,23481845965083,Window life grow firm.,In Progress
9314,2022-09-07,Telecom,Airtel,David Lee,23470604921991,Everyone discuss force write.,In Progress
3024,2023-09-16,Pay TV,Airtel,Thomas Smith,23481249763312,Appear spring expert positive include.,In Progress
2200,2023-07-21,Pay TV,MTN,Zachary Wilson,23490200331513,Sell any her need.,Resolved
5917,2022-11-19,Pay TV,Etisalat,Robert Parker,23481356432239,Kitchen best international service measure impact these.,Open
1649,2022-08-06,Pay TV,MTN,Brandon Avila,23480439337550,Visit policy after cut western mean.,Open
1093,2022-09-01,Pay TV,Glo,Colleen Jones,23490705206714,Senior low owner.,In Progress
2155,2023-04-18,Telecom,Glo,Amber Rivera,23470135627077,Far court without interesting.,In Progress
5230,2022-06-10,Pay TV,MTN,Allen Mason,23490903014180,Wind civil brother.,Open
204,2023-07-26,Pay TV,Etisalat,Angela Rodgers,23470525253674,Town expert ready.,Resolved
2988,2022-05-13,Telecom,Etisalat,Matthew Reed,23490274272880,Republican six decade learn analysis policy choose cause.,Resolved
5072,2021-11-26,Telecom,Etisalat,Diane Richardson MD,23470474716263,I big child put.,Resolved
7923,2022-03-15,Pay TV,Airtel,Veronica Perez,23470364157417,Pass lose place magazine push join.,Open
3913,2021-10-30,Telecom,Airtel,Austin Harris,23480275398898,Employee plan Democrat I challenge.,In Progress
1512,2021-12-15,Telecom,Glo,Scott Flores,23480656033036,Nation second check special none evening.,Open
4592,2023-05-30,Telecom,Glo,Brittany Castro,23481332803226,Interest already government American.,Open
9870,2022-10-03,Telecom,Glo,Misty Reed,2347041329989,Despite stock push current talk.,Open
174,2023-09-02,Pay TV,Glo,Mrs. Barbara Clark,23481360056543,President professional enjoy agree.,In Progress
8678,2022-05-21,Telecom,MTN,William Madden,2348042854751,Four traditional local similar simply able sure.,Open
3590,2022-07-25,Pay TV,Etisalat,Melissa Bender,23480289480080,Season data foot leave fly laugh.,Open
7397,2022-02-05,Telecom,Etisalat,Lori Salinas,23480425495805,Identify onto improve.,In Progress
7209,2023-01-06,Telecom,Etisalat,William Perry,23470451889546,Rule discover you despite either.,In Progress
8330,2023-01-14,Pay TV,MTN,Nicole Navarro,23480349677146,Seven either eat.,Resolved
2603,2023-01-09,Pay TV,Glo,Jennifer Wolfe,23481788249519,None reason five present next cost.,In Progress
8887,2023-06-11,Telecom,Airtel,Monica Stanley,23480525570625,There example team meeting popular art economic.,Resolved
9855,2022-02-15,Telecom,Etisalat,Kathryn Berger,23480462450184,Situation great debate event fight something knowledge talk.,In Progress
3450,2021-10-30,Telecom,MTN,Shawn Cox,23470392714010,Affect could know represent need.,In Progress
7049,2022-05-15,Telecom,Airtel,Benjamin Bradley,23490971183735,Billion protect center for take.,Resolved
9189,2023-05-04,Telecom,Etisalat,Michael Mueller,23480631308964,Quality Congress cause truth individual.,Open
4753,2023-01-05,Telecom,MTN,Jennifer Sheppard,23481396451149,I someone next major key.,Open
1590,2023-07-20,Telecom,Glo,Bobby Weaver,23470817606824,Around single election left focus.,Resolved
3743,2021-10-13,Pay TV,Glo,Joseph Salas,23480132497010,Tv also personal now brother law good.,Open
3002,2023-04-30,Telecom,MTN,Richard Marshall,23480334011512,Become space sometimes service fire adult increase late.,Open
8212,2022-10-16,Telecom,Airtel,Brittany Williams,23470300512322,Method long sure begin fly allow consider.,Resolved
5427,2022-06-20,Pay TV,Airtel,Jo Miller,23470588145952,Any general recently herself.,In Progress
1297,2023-03-07,Telecom,Etisalat,David Ingram,23490894628803,Have growth easy art.,In Progress
6940,2022-01-19,Telecom,Airtel,Louis Mcconnell,2348154933057,Enjoy early always I speak.,Open
9021,2022-07-10,Pay TV,Glo,Paul Lopez,23480834068023,Community significant fish health inside movie you.,Open
8197,2022-02-09,Telecom,Etisalat,William Daniel,23470675818038,Plant anything game source.,Open
4642,2022-09-29,Telecom,Glo,Amy Smith,23481662900302,Help officer decision network voice keep he.,In Progress
3968,2022-04-01,Telecom,Glo,Sandra Gordon,23470900535943,Possible understand medical major figure later situation.,Open
9329,2022-05-07,Telecom,Etisalat,Cody Watts,23481516287326,Make discussion her toward kitchen remember allow.,Open
3270,2023-07-02,Telecom,Etisalat,Thomas Shelton,23490557849028,Loss here authority civil discussion.,Resolved
2122,2022-01-16,Telecom,Airtel,Christopher Jackson,23470515961921,School hear hit right state yeah.,Resolved
9061,2023-05-12,Pay TV,Airtel,Pamela Richardson,23481455437252,Bag company stop land sign upon.,Resolved
6166,2023-08-02,Telecom,MTN,Jennifer Berg,23480880245690,Already religious future growth.,Resolved
4505,2022-01-04,Pay TV,Etisalat,Deborah Hernandez,23481138839217,Live kitchen difficult beat list.,In Progress
1726,2023-09-04,Pay TV,MTN,Scott Lyons,23480205427188,Issue watch bill despite.,Resolved
445,2022-05-07,Pay TV,Glo,Jeffrey Andrade,23470928562453,Admit American participant.,Resolved
4680,2023-04-03,Telecom,Etisalat,John Rivera,23470733523032,Third yet pressure decade.,In Progress
372,2022-09-12,Pay TV,MTN,Adam Buck,23490390001680,Analysis dream crime only score occur your.,In Progress
624,2022-01-06,Pay TV,Airtel,Grace Jacobson,23470841049349,Old activity kind.,In Progress
6704,2023-05-21,Pay TV,Glo,Tiffany Davis,23481260474315,Money work party past.,Resolved
9280,2023-09-12,Pay TV,MTN,Michael Powell,23490897247349,Action for amount your both low young.,In Progress
3175,2022-08-26,Telecom,MTN,Louis Parker,23480858077846,So spend everyone gun system left decide.,In Progress
743,2022-03-21,Telecom,MTN,Kathleen Carter,23490354444397,He full culture go business forget.,Open
516,2022-02-24,Telecom,Etisalat,Susan Ross,23481189806964,Whose expect share first.,Resolved
8167,2022-04-12,Telecom,MTN,Nichole Chavez,23490879551006,Agreement almost popular maybe.,In Progress
4642,2022-12-22,Pay TV,Airtel,Deborah Pacheco,23470783495809,Service here change hundred operation TV shoulder.,Resolved
6669,2022-06-16,Pay TV,MTN,Christina Padilla,23470844070444,Let every fact.,In Progress
7282,2023-04-16,Telecom,Etisalat,Michele Sims,23480106968283,Sense after else.,In Progress
1996,2023-02-26,Telecom,MTN,Anthony Ortega,23470487901703,Have charge ball almost.,Open
217,2023-07-03,Pay TV,Airtel,Kevin Graves,23490678676065,Together evening mind example anyone sit.,Open
1075,2023-01-04,Telecom,Glo,Nicole Martin,23480442581587,Lay everyone along.,In Progress
2894,2021-12-29,Telecom,Glo,Kevin Terrell,23481399811187,Executive family husband view.,In Progress
8124,2023-08-03,Pay TV,MTN,Joanna Williams,23470870280327,Example event despite music.,Resolved
5237,2023-06-16,Pay TV,Glo,Sandy Bishop,23481139229755,Property organization brother area over.,In Progress
1956,2022-05-25,Pay TV,Airtel,Patrick Mcclain,23490759064897,Body issue break.,Open
3262,2022-10-29,Telecom,Glo,Daniel Hodge,23490916875885,Mrs vote interview remain fire western third.,Open
6049,2022-08-10,Pay TV,MTN,Jonathan Schmidt,23480627897036,Design maybe allow him.,Open
420,2023-08-28,Pay TV,MTN,Jennifer Lucero,23490894026200,Run reflect miss society under usually more.,Open
9656,2022-12-09,Pay TV,MTN,Kelly Barnett,23470636540954,Wind buy son instead fast order.,Open
8144,2023-07-29,Pay TV,Glo,Amanda Jones,23480910859754,Anyone campaign argue worry nor.,In Progress
1446,2022-04-23,Pay TV,Glo,Olivia Martinez,23490781919469,Challenge realize ok author yeah.,Open
5645,2023-07-14,Pay TV,Glo,Christopher Robertson,23481440794802,Not hope ground bed action off always size.,Resolved
991,2022-10-13,Pay TV,MTN,Matthew Moreno,23490775822146,Institution same drug meet.,In Progress
9068,2023-07-28,Telecom,Glo,Kara Brown,23490139504868,Practice play compare feeling subject decision.,Open
5203,2023-07-16,Pay TV,Glo,John Wolfe,2349064195350,Boy suggest before interesting foot form.,Open
2318,2022-03-02,Telecom,Glo,Cameron Moore,23490546414947,Represent southern book.,Open
4620,2023-08-24,Pay TV,Airtel,John Palmer,23470559501993,Country however executive financial be four fill.,Resolved
6130,2023-06-16,Telecom,Glo,Elizabeth White,23481461458984,Rule key military might risk bad.,Open
4857,2022-01-01,Telecom,Airtel,Austin Jimenez,23490173849112,Drug same trip near item foreign product.,Open
